Result,Address A,Size A,Address B,Size B
Difference,5EAEh,1h,5EAEh,1h
Match,5EAFh,4Ch,5EAFh,4Ch
Difference,5EFBh,1h,5EFBh,1h
Match,5EFCh,4Ch,5EFCh,4Ch
Difference,5F48h,1h,5F48h,1h
Match,5F49h,4Ch,5F49h,4Ch
Difference,5F95h,1h,5F95h,1h
Match,5F96h,4Ch,5F96h,4Ch
Difference,5FE2h,1h,5FE2h,1h
Match,5FE3h,4Ch,5FE3h,4Ch
Difference,602Fh,1h,602Fh,1h
Match,6030h,4Ch,6030h,4Ch
Difference,607Ch,1h,607Ch,1h
Match,607Dh,4Ch,607Dh,4Ch
Difference,60C9h,1h,60C9h,1h
Match,60CAh,4Ch,60CAh,4Ch
Difference,6116h,1h,6116h,1h
Match,6117h,4Ch,6117h,4Ch
Difference,6163h,1h,6163h,1h
Match,6164h,4Ch,6164h,4Ch
Difference,61B0h,1h,61B0h,1h
Match,61B1h,4Ch,61B1h,4Ch
Difference,61FDh,1h,61FDh,1h
Match,61FEh,76h,61FEh,76h
Difference,6274h,1h,6274h,1h
Match,6275h,4Ch,6275h,4Ch
Difference,62C1h,1h,62C1h,1h
Match,62C2h,4Ch,62C2h,4Ch
Difference,630Eh,1h,630Eh,1h
Match,630Fh,4Ch,630Fh,4Ch
Difference,635Bh,1h,635Bh,1h
Match,635Ch,4Ch,635Ch,4Ch
Difference,63A8h,1h,63A8h,1h
Match,63A9h,4Ch,63A9h,4Ch
Difference,63F5h,1h,63F5h,1h
Match,63F6h,4Ch,63F6h,4Ch
Difference,6442h,1h,6442h,1h
Match,6443h,4Ch,6443h,4Ch
Difference,648Fh,1h,648Fh,1h
Match,6490h,4Ch,6490h,4Ch
Difference,64DCh,1h,64DCh,1h
Match,64DDh,4Ch,64DDh,4Ch
Difference,6529h,1h,6529h,1h
Match,652Ah,4Ch,652Ah,4Ch
Difference,6576h,1h,6576h,1h
Match,6577h,4Ch,6577h,4Ch
Difference,65C3h,1h,65C3h,1h
Match,65C4h,4Ch,65C4h,4Ch
Difference,6610h,1h,6610h,1h
Match,6611h,4Ch,6611h,4Ch
Difference,665Dh,1h,665Dh,1h
Match,665Eh,4Ch,665Eh,4Ch
Difference,66AAh,1h,66AAh,1h
Match,66ABh,76h,66ABh,76h
Difference,6721h,1h,6721h,1h
Match,6722h,4Ch,6722h,4Ch
Difference,676Eh,1h,676Eh,1h
Match,676Fh,4Ch,676Fh,4Ch
Difference,67BBh,1h,67BBh,1h
Match,67BCh,53h,67BCh,53h
Difference,680Fh,1h,680Fh,1h
Match,6810h,53h,6810h,53h
Difference,6863h,1h,6863h,1h
Match,6864h,5Ah,6864h,5Ah
Difference,68BEh,1h,68BEh,1h
Match,68BFh,5Ah,68BFh,5Ah
Difference,6919h,1h,6919h,1h
Match,691Ah,5Eh,691Ah,5Eh
Difference,6978h,1h,6978h,1h
Match,6979h,5Ah,6979h,5Ah
Difference,69D3h,1h,69D3h,1h
Match,69D4h,5Ah,69D4h,5Ah
Difference,6A2Eh,1h,6A2Eh,1h
Match,6A2Fh,16Fh,6A2Fh,16Fh
Difference,6B9Eh,2h,6B9Eh,2h
Match,6BA0h,206h,6BA0h,206h
Difference,6DA6h,2h,6DA6h,2h
Match,6DA8h,1h,6DA8h,1h
Difference,6DA9h,2h,6DA9h,2h
Match,6DABh,4h,6DABh,4h
Difference,6DAFh,1h,6DAFh,1h
Match,6DB0h,26h,6DB0h,26h
Difference,6DD6h,2h,6DD6h,2h
Match,6DD8h,7h,6DD8h,7h
Difference,6DDFh,2h,6DDFh,2h
Match,6DE1h,438h,6DE1h,438h
Difference,7219h,2h,7219h,2h
Match,721Bh,Eh,721Bh,Eh
Difference,7229h,1h,7229h,1h
Match,722Ah,BDh,722Ah,BDh
Difference,72E7h,2h,72E7h,2h
Match,72E9h,Fh,72E9h,Fh
Difference,72F8h,1h,72F8h,1h
Match,72F9h,3h,72F9h,3h
Difference,72FCh,2h,72FCh,2h
Match,72FEh,7h,72FEh,7h
Difference,7305h,1h,7305h,1h
Match,7306h,3h,7306h,3h
Difference,7309h,2h,7309h,2h
Match,730Bh,12h,730Bh,12h
Difference,731Dh,1h,731Dh,1h
Match,731Eh,3h,731Eh,3h
Difference,7321h,2h,7321h,2h
Match,7323h,12h,7323h,12h
Difference,7335h,1h,7335h,1h
Match,7336h,3h,7336h,3h
Difference,7339h,2h,7339h,2h
Match,733Bh,11h,733Bh,11h
Difference,734Ch,1h,734Ch,1h
Match,734Dh,3h,734Dh,3h
Difference,7350h,2h,7350h,2h
Match,7352h,8h,7352h,8h
Difference,735Ah,1h,735Ah,1h
Match,735Bh,3h,735Bh,3h
Difference,735Eh,2h,735Eh,2h
Match,7360h,Dh,7360h,Dh
Difference,736Dh,1h,736Dh,1h
Match,736Eh,3h,736Eh,3h
Difference,7371h,2h,7371h,2h
Match,7373h,7h,7373h,7h
Difference,737Ah,1h,737Ah,1h
Match,737Bh,3h,737Bh,3h
Difference,737Eh,2h,737Eh,2h
Match,7380h,129h,7380h,129h
Difference,74A9h,1h,74A9h,1h
Match,74AAh,3h,74AAh,3h
Difference,74ADh,2h,74ADh,2h
Match,74AFh,Ah,74AFh,Ah
Difference,74B9h,1h,74B9h,1h
Match,74BAh,3h,74BAh,3h
Difference,74BDh,2h,74BDh,2h
Match,74BFh,88h,74BFh,88h
Difference,7547h,1h,7547h,1h
Match,7548h,3h,7548h,3h
Difference,754Bh,2h,754Bh,2h
Match,754Dh,Eh,754Dh,Eh
Difference,755Bh,1h,755Bh,1h
Match,755Ch,3h,755Ch,3h
Difference,755Fh,2h,755Fh,2h
Match,7561h,248h,7561h,248h
Difference,77A9h,1h,77A9h,1h
Match,77AAh,A3h,77AAh,A3h
Difference,784Dh,2h,784Dh,2h
Match,784Fh,1Fh,784Fh,1Fh
Difference,786Eh,2h,786Eh,2h
Match,7870h,16h,7870h,16h
Difference,7886h,2h,7886h,2h
Match,7888h,73h,7888h,73h
Difference,78FBh,1h,78FBh,1h
Match,78FCh,7h,78FCh,7h
Difference,7903h,1h,7903h,1h
Match,7904h,DCh,7904h,DCh
Difference,79E0h,1h,79E0h,1h
Match,79E1h,25h,79E1h,25h
Difference,7A06h,1h,7A06h,1h
Match,7A07h,21h,7A07h,21h
Difference,7A28h,1h,7A28h,1h
Match,7A29h,4Ch,7A29h,4Ch
